"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"21","https://www.nytimes.com/reuters/2019/03/19/business/19reuters-ford-motor-suvs.html","Ford Motor Co said it will boost U.S. production of its largest sport utility vehicles in a move to grab profits in a market where consumers favor larger, more comfortable vehicles.","Ford Motor Co said it will boost U.S. production of its largest sport utility vehicles in a move to grab profits in a market where consumers favor larger, more comfortable vehicles.","Reuters","2019-03-19T09:05:09+0000","article","None","Business",NA,"News","5c90b11f49f0eacbf105dce0",510,0,"nyt://article/f9b73d1e-b4cb-5ae3-8921-043d0cab599e",NA,"Ford to Boost Profit-Rich U.S. Large SUV Production Again",NA,NA,"Ford to Boost Profit-Rich U.S. Large SUV Production Again",NA,NA,NA,"By REUTERS","REUTERS"
"22","https://www.nytimes.com/aponline/2019/03/19/us/ap-us-statue-of-liberty-arrest.html","A woman who climbed the base of the Statue of Liberty last July 4 to protest the separation of families at the Mexican border came to her sentencing Tuesday with her face entirely covered with clear sticky tape, irritating a judge who refused to p...","A woman who climbed the base of the Statue of Liberty last July 4 to protest the separation of families at the Mexican border came to her sentencing Tuesday with her face entirely covered with clear sticky tape, irritating a judge who refused to proceed until she removed it.","AP","2019-03-19T15:15:20+0000","article","None","U.S.",NA,"News","5c9107e249f0eacbf105ddd7",521,0,"nyt://article/e3849684-f001-5280-8730-ae102a69e6b8",NA,"Statue of Liberty Climber Covers Face in Tape at Sentencing",NA,NA,"Statue of Liberty Climber Covers Face in Tape at Sentencing",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"23","https://www.nytimes.com/aponline/2019/03/19/us/politics/ap-us-supreme-court-immigration-detention.html","A divided Supreme Court ruled Tuesday against a group of immigrants in a case about the government's power to detain them after they've committed crimes but finished their sentences.","A divided Supreme Court ruled Tuesday against a group of immigrants in a case about the government's power to detain them after they've committed crimes but finished their sentences.","AP","2019-03-19T14:39:16+0000","article","None","U.S.","Politics","News","5c90ff6e49f0eacbf105ddb1",651,0,"nyt://article/a17863bc-a0c0-5b65-9c74-ba991a217953",NA,"Supreme Court Rules Against Immigrants in Detention Case",NA,NA,"Supreme Court Rules Against Immigrants in Detention Case",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"24","https://www.nytimes.com/aponline/2019/03/19/us/politics/ap-us-election-2020-terry-mcauliffe-south-carolina.html","Former Virginia Gov. Terry McAuliffe said Tuesday that he'll soon decide whether to join the sprawling field of candidates seeking the 2020 Democratic presidential nomination.","Former Virginia Gov. Terry McAuliffe said Tuesday that he'll soon decide whether to join the sprawling field of candidates seeking the 2020 Democratic presidential nomination.","AP","2019-03-19T18:16:00+0000","article","None","U.S.","Politics","News","5c91323a49f0eacbf105de73",596,0,"nyt://article/69246a4b-8ce5-5128-86d1-2cc31f9a485d",NA,"Ex-Gov. McAuliffe Says Decision Coming Soon on 2020 Run",NA,NA,"Ex-Gov. McAuliffe Says Decision Coming Soon on 2020 Run",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"25","https://www.nytimes.com/2019/03/19/nyregion/newyorktoday/AOC-Amazon-nyc.html","Tuesday: Two-thirds of voters said the company’s withdrawal from a Queens campus was bad for the state, and over a third blamed the congresswoman for it.","Tuesday: Two-thirds of voters said the company’s withdrawal from a Queens campus was bad for the state, and over a third blamed the congresswoman for it.","The New York Times","2019-03-19T09:50:27+0000","article","Metro","New York","New York Today","briefing","5c90bbbc49f0eacbf105dcfb",1547,0,"nyt://article/bebc3f73-2578-548f-9312-da882390d6ff",NA,"Alexandria Ocasio-Cortez Is Top ‘Villain’ in Amazon Pullout, Poll Finds","New York Today","New York Today","",NA,NA,NA,"By AZI PAYBARAH",NA
"26","https://www.nytimes.com/2019/03/18/business/boeing-737-max-ceo.html","The chief executive, Dennis A. Muilenburg, broke his silence more than a week after the second 737 Max jet crash in recent months.","The chief executive, Dennis A. Muilenburg, broke his silence more than a week after the second 737 Max jet crash in recent months.","The New York Times","2019-03-19T01:56:32+0000","article","Business","Business",NA,"News","5c904caa49f0eacbf105dc1b",934,0,"nyt://article/4a99a94d-be9b-5a40-a8c8-6d83683dfd36",9,"Boeing’s C.E.O. Speaks: ‘Our Hearts Are Heavy’",NA,NA,"A Week After Ethiopia Crash, Boeing’s C.E.O. Speaks: ‘Our Hearts Are Heavy’",NA,NA,NA,"By DAVID GELLES and IAN AUSTEN",NA
"27","https://www.nytimes.com/2019/03/19/opinion/college-scandal-massacre-guns.html","And why should they be?","And why should they be?","The New York Times","2019-03-19T10:00:03+0000","article","OpEd","Opinion",NA,"Op-Ed","5c90bdfe49f0eacbf105dd08",1941,0,"nyt://article/13f827c1-1159-5f6d-ab31-379ffc92bec3",NA,"The Kids Aren’t All Right","The Conversation","The Conversation","The Kids Aren’t All Right",NA,NA,NA,"By GAIL COLLINS and BRET STEPHENS",NA
"28","https://www.nytimes.com/2019/03/02/us/politics/trump-free-speech-colleges.html","The president said he planned to issue an executive order that would help guarantee free speech on college campuses by putting their federal aid at risk.","The president said he planned to issue an executive order that would help guarantee free speech on college campuses by putting their federal aid at risk.","The New York Times","2019-03-02T22:03:07+0000","article","Washington","U.S.","Politics","News","5c7afdf549f0eacbf105b0de",853,0,"nyt://article/9a2f1fb7-5446-5e84-a411-e90e14c69e7e",18,"Trump Says He Will Sign Free Speech Order for College Campuses",NA,NA,"Trump Vows to Issue Order On Free Speech at Colleges",NA,NA,NA,"By MICHAEL D. SHEAR",NA
"29","https://www.nytimes.com/2019/03/01/world/americas/mexico-migration-trump.html","Mexican officials say this prevents a fight with Trump and costs little, politically, at home. But it defies López Obrador’s promises to defend migrants.","Mexican officials say this prevents a fight with Trump and costs little, politically, at home. But it defies López Obrador’s promises to defend migrants.","The New York Times","2019-03-01T16:40:48+0000","article","Foreign","World","Americas","News","5c7960ea49f0eacbf105ae47",1535,0,"nyt://article/f06d3646-41dd-57ed-bf08-85e6aa2a40e9",1,"Trump’s Surprising New Ally in Mexico? The Government",NA,NA,"Mexico Concedes To U.S. Demands On Immigration",NA,NA,NA,"By AZAM AHMED and KIRK SEMPLE",NA
"30","https://www.nytimes.com/2019/03/04/briefing/tornadoes-donald-trump-michael-jackson.html","Here’s what you need to know.","Here’s what you need to know.","The New York Times","2019-03-04T10:30:30+0000","article","NYTNow","Briefing",NA,"briefing","5c7cfea049f0eacbf105b33b",1504,0,"nyt://article/6f0d7dee-f9e8-5142-9b03-3d148846cd1f",NA,"Tornadoes, Donald Trump, Michael Jackson: Your Monday Briefing",NA,NA,"Tornadoes, Donald Trump, Michael Jackson: Your Monday Briefing",NA,NA,NA,"By CHRIS STANFORD",NA
