"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"65","RT @DLind: So on the one hand, the WH is trying to sunset longstanding TPS protections because ""temporary means temporary.""

On the other,…",FALSE,0,NA,2019-03-18 23:58:50,FALSE,NA,"1107793515508129792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a61688",26,TRUE,FALSE,NA,NA
"66","@mommags2579 @TheRealMissGuy @Lrihendry @realDonaldTrump and when I say undereducated, I don't even mean higher edu… https://t.co/QXRxXxcT8s",FALSE,0,"Euchre_AFGC",2019-03-18 23:58:49,TRUE,"1107793161911451649","1107793510852382723","799876806195167232","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Euchre_AFGC",0,FALSE,FALSE,NA,NA
"67","RT @KhaledBeydoun: Why is Trump denying the rise in White Supremacy?  3 Primary Reasons.

1) He doesn't want to alienate a large segment of…",FALSE,0,NA,2019-03-18 23:58:49,FALSE,NA,"1107793510646738944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tyrazafar",539,TRUE,FALSE,NA,NA
"68","RT @JoeySalads: The Left complains that Trump made America a laughing stock. 
No, the MSM did that.
We are doing better than ever under his…",FALSE,0,NA,2019-03-18 23:58:48,FALSE,NA,"1107793507840745472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Goodlad86242854",27,TRUE,FALSE,NA,NA
"69","RT @ewarren: Saudi Arabia has brutally crushed dissent—kidnapping, detaining, torturing its own citizens—even murdering Jamal Khashoggi, a…",FALSE,0,NA,2019-03-18 23:58:47,FALSE,NA,"1107793504493801472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DylanHunt2017",1070,TRUE,FALSE,NA,NA
"70","RT @KhaledBeydoun: Why is Trump denying the rise in White Supremacy?  3 Primary Reasons.

1) He doesn't want to alienate a large segment of…",FALSE,0,NA,2019-03-18 23:58:46,FALSE,NA,"1107793500098187264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joshuacrime",539,TRUE,FALSE,NA,NA
"71","RT @thehill: Trump admin requests over $85 billion for spy budget https://t.co/ggxeM38SZs https://t.co/zmBQ8dMtAW",FALSE,0,NA,2019-03-18 23:58:46,FALSE,NA,"1107793498541953024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_IamAnita_D",71,TRUE,FALSE,NA,NA
"72","RT @HillaryClinton: An administration's budget says a lot about what—and, more importantly, who—it values. 

So let's talk about the Trump…",FALSE,0,NA,2019-03-18 23:58:46,FALSE,NA,"1107793496629485568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Skallywag3",7432,TRUE,FALSE,NA,NA
"73","RT @thehill: Trump admin requests over $85 billion for spy budget https://t.co/ggxeM38SZs https://t.co/zmBQ8dMtAW",FALSE,0,NA,2019-03-18 23:58:45,FALSE,NA,"1107793495664672768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruffssketches",71,TRUE,FALSE,NA,NA
"74","RT @atrupar: TRUMP ADMINISTRATION: Everyone should read the white supremacist mass murderer’s manifesto in full 

ALSO TRUMP ADMIN: Nobody…",FALSE,0,NA,2019-03-18 23:58:43,FALSE,NA,"1107793487368474625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jacobtwop",462,TRUE,FALSE,NA,NA
"75","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:42,FALSE,NA,"1107793481123155969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LauraKonz",7153,TRUE,FALSE,NA,NA
"76","Trump administration proposes big cut in Hanford spending https://t.co/KgiN3yPKvi",FALSE,0,NA,2019-03-18 23:58:42,FALSE,NA,"1107793480598896640",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","seattleinformer",0,FALSE,FALSE,NA,NA
"77","RT @krasi_grozev: “NATO’s solidarity clause is called Article 5, not Article F-35” https://t.co/sQbu9ahFC5 via @defenseone",FALSE,0,NA,2019-03-18 23:58:36,FALSE,NA,"1107793457060474882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RODRIGORRC72",4,TRUE,FALSE,NA,NA
"78","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:36,FALSE,NA,"1107793456867364864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iron_Nail",7153,TRUE,FALSE,NA,NA
"79","RT @CuteScarley: Your husband pulls you down KellyAnne

Conway's husband suggests Trump has narcissistic personality disorder https://t.co/…",FALSE,0,NA,2019-03-18 23:58:35,FALSE,NA,"1107793452887142400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sbwaverider",81,TRUE,FALSE,NA,NA
"80","RT @Lrihendry: @realDonaldTrump I do not think there has ever been an administration like Obama’s that did as much damage in as little time…",FALSE,0,NA,2019-03-18 23:58:35,FALSE,NA,"1107793450433421312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdHammer2x",1992,TRUE,FALSE,NA,NA
"81","RT @ewarren: Saudi Arabia has brutally crushed dissent—kidnapping, detaining, torturing its own citizens—even murdering Jamal Khashoggi, a…",FALSE,0,NA,2019-03-18 23:58:32,FALSE,NA,"1107793440983658496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Intruderbill",1070,TRUE,FALSE,NA,NA
